miner,config,batch_id,drift_score,drift_band,quality_score,base_contamination,adaptive_formula,effective_param,base_eps,corr_threshold
IsolationForest,"base=0.05,formula=fixed",1,0.0,low,0.9483146067415731,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",2,0.0,low,0.9493569131832797,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",3,0.0,low,0.9495586380832283,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",4,0.0,low,0.9503105590062112,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",5,0.0,low,0.949238578680203,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",6,0.0,low,0.95,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",7,0.0,low,0.9499031275947966,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",8,0.0,low,0.9489795918367347,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",9,0.0,low,0.948936170212766,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=fixed",10,0.0,low,0.95,0.05,fixed,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",1,0.0,low,0.9483146067415731,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",2,0.0,low,0.9493569131832797,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",3,0.0,low,0.9495586380832283,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",4,0.0,low,0.9503105590062112,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",5,0.0,low,0.949238578680203,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",6,0.0,low,0.95,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",7,0.0,low,0.9499031275947966,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",8,0.0,low,0.9489795918367347,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",9,0.0,low,0.948936170212766,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.20",10,0.0,low,0.95,0.05,linear_0.20,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",1,0.0,low,0.9483146067415731,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",2,0.0,low,0.9493569131832797,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",3,0.0,low,0.9495586380832283,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",4,0.0,low,0.9503105590062112,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",5,0.0,low,0.949238578680203,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",6,0.0,low,0.95,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",7,0.0,low,0.9499031275947966,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",8,0.0,low,0.9489795918367347,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",9,0.0,low,0.948936170212766,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.30",10,0.0,low,0.95,0.05,linear_0.30,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",1,0.0,low,0.9483146067415731,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",2,0.0,low,0.9493569131832797,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",3,0.0,low,0.9495586380832283,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",4,0.0,low,0.9503105590062112,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",5,0.0,low,0.949238578680203,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",6,0.0,low,0.95,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",7,0.0,low,0.9499031275947966,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",8,0.0,low,0.9489795918367347,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",9,0.0,low,0.948936170212766,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.05,formula=linear_0.15",10,0.0,low,0.95,0.05,linear_0.15,0.05,,
IsolationForest,"base=0.1,formula=fixed",1,0.0,low,0.898876404494382,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",2,0.0,low,0.8995176848874598,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",3,0.0,low,0.8997477931904161,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",4,0.0,low,0.9006211180124224,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",5,0.0,low,0.8984771573604061,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",6,0.0,low,0.9,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",7,0.0,low,0.8998062551895931,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",8,0.0,low,0.8979591836734694,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",9,0.0,low,0.9,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=fixed",10,0.0,low,0.9,0.1,fixed,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",1,0.0,low,0.898876404494382,0.1,linear_0.20,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",2,0.0,low,0.8995176848874598,0.1,linear_0.20,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",3,0.0,low,0.8997477931904161,0.1,linear_0.20,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",4,0.0,low,0.9006211180124224,0.1,linear_0.20,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",5,0.0,low,0.8984771573604061,0.1,linear_0.20,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",6,0.0,low,0.9,0.1,linear_0.20,0.1,,
IsolationForest,"base=0.1,formula=linear_0.20",7,0.0,low,0.8998062551895931,0.1,linear_0.20,0.1,,
